strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,207.42,85.71074380165288,18,10.3801652892562,23.859504132231404,65.7603305785124,500,2.4866727240005275
netshield_edge_suppression,196.3,81.11570247933885,31,14.11570247933884,23.02479338842975,62.8595041322314,500,3.576581156999964
centrality_edge_suppression,193.72,80.0495867768595,23,13.413223140495866,23.537190082644628,63.04958677685951,500,3.808013451000079
greedy_edge_weight_suppression,205.64,84.97520661157024,17,11.404958677685952,24.272727272727273,64.32231404958677,500,2.3121577229994728
reliable_cluster_edge_suppression,201.12,83.10743801652892,17,12.487603305785123,23.008264462809915,64.50413223140495,500,2.1696312680005576
size_constrained_mpf_suppression,206.7,85.41322314049586,17,10.818181818181818,24.049586776859506,65.13223140495869,500,2.2157384410002123
average_linkage_mpf_suppression,205.86,85.06611570247934,19,10.975206611570247,23.371900826446282,65.65289256198346,500,2.223811752000074
