strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,2046.8,68.22666666666667,111,29.613999999999997,18.916666666666668,51.46933333333333,500,16.111876975000087
netshield_edge_suppression,1881.62,62.72066666666666,132,33.11666666666667,18.770666666666667,48.11266666666667,500,29.25445554099997
centrality_edge_suppression,1908.88,63.629333333333335,133,32.294666666666664,18.854666666666667,48.85066666666666,500,28.355073361999985
greedy_edge_weight_suppression,1930.1,64.33666666666666,124,31.862666666666666,18.83,49.30733333333334,500,20.264250333999826
reliable_cluster_edge_suppression,2043.6,68.11999999999999,111,29.665333333333333,19.22533333333333,51.10933333333333,500,22.42253299999993
size_constrained_mpf_suppression,2004.12,66.804,116,30.020666666666667,18.996,50.983333333333334,500,19.765885748000073
average_linkage_mpf_suppression,2000.92,66.69733333333333,118,29.89466666666667,19.131333333333338,50.974,500,19.97487333800018
