strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,996.0,66.84563758389261,21,32.162416107382555,17.6,50.237583892617444,500,48.630159596999874
netshield_edge_suppression,855.96,57.446979865771816,31,40.111409395973155,15.750335570469797,44.138255033557044,500,111.94869272600044
centrality_edge_suppression,898.14,60.277852348993285,26,37.70872483221477,16.119463087248324,46.17181208053692,500,107.52384722999705
greedy_edge_weight_suppression,977.04,65.5731543624161,18,33.11543624161074,17.091275167785234,49.79328859060402,500,45.15292551300081
reliable_cluster_edge_suppression,994.02,66.71275167785234,20,31.892617449664428,17.676510067114094,50.43087248322148,500,50.26576903699606
size_constrained_mpf_suppression,962.96,64.62818791946309,19,34.16241610738255,17.06711409395973,48.770469798657714,500,51.032357434000005
