strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,1062.22,67.4853875476493,29,32.52858958068615,16.674714104193136,50.796696315120705,500,14.910262475999843
netshield_edge_suppression,983.28,62.47013977128335,30,35.60991105463786,16.330368487928844,48.05972045743329,500,22.47457238199968
centrality_edge_suppression,1007.52,64.01016518424396,35,34.485387547649296,16.426937738246504,49.08767471410419,500,23.088036041000123
greedy_edge_weight_suppression,1031.22,65.5158831003812,27,33.5705209656925,16.88818297331639,49.5412960609911,500,21.375919389000046
reliable_cluster_edge_suppression,1065.52,67.69504447268106,28,32.30114358322745,17.30495552731893,50.393900889453626,500,23.8678306769998
size_constrained_mpf_suppression,1017.74,64.6594663278272,31,33.81575603557814,16.95425667090216,49.22998729351969,500,22.90516704000038
average_linkage_mpf_suppression,1042.14,66.20965692503177,28,33.14739517153748,16.879288437102925,49.973316391359596,500,22.85822594499996
