strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,135.94,90.62666666666667,15,6.866666666666667,25.88,67.25333333333333,500,1.7970931330000894
netshield_edge_suppression,128.32,85.54666666666665,21,10.933333333333332,24.066666666666666,65.0,500,2.3362169940000967
centrality_edge_suppression,125.42,83.61333333333334,22,10.76,24.213333333333335,65.02666666666667,500,2.488734913999906
greedy_edge_weight_suppression,133.98,89.32,17,7.959999999999999,24.973333333333333,67.06666666666666,500,1.5231480949996694
reliable_cluster_edge_suppression,134.14,89.42666666666665,18,7.079999999999999,25.53333333333333,67.38666666666666,500,1.6316942049998033
size_constrained_mpf_suppression,133.44,88.96,20,7.733333333333333,24.213333333333335,68.05333333333333,500,1.5165133569998943
average_linkage_mpf_suppression,133.8,89.20000000000002,17,7.200000000000001,24.866666666666664,67.93333333333334,500,1.637226185000145
