strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,1719.94,57.33133333333333,192,28.939999999999998,22.09133333333333,48.968666666666664,500,15.806584400999782
netshield_edge_suppression,1380.38,46.01266666666667,187,38.477999999999994,20.488,41.034,500,22.9432772629998
centrality_edge_suppression,1468.74,48.958,209,36.364000000000004,20.466,43.169999999999995,500,24.619711800000005
greedy_edge_weight_suppression,1554.38,51.81266666666667,212,32.47533333333333,22.750666666666667,44.774,500,18.30611617300019
reliable_cluster_edge_suppression,1685.04,56.16799999999999,175,31.062,21.157999999999998,47.78000000000001,500,20.123854344999927
size_constrained_mpf_suppression,1269.54,42.318,231,32.174,25.328,42.498000000000005,500,18.767151851000563
average_linkage_mpf_suppression,1210.6,40.35333333333333,249,33.08533333333333,25.947333333333333,40.967333333333336,500,19.040123429000232
