strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,184.22,61.406666666666666,90,36.126666666666665,14.386666666666665,49.486666666666665,500,13.808190682999339
netshield_edge_suppression,150.98,50.32666666666666,97,45.6,12.906666666666666,41.49333333333333,500,20.221944236000127
centrality_edge_suppression,159.04,53.013333333333335,88,43.31333333333333,13.3,43.38666666666667,500,19.53707691499949
greedy_edge_weight_suppression,157.42,52.47333333333333,106,39.61333333333334,15.246666666666666,45.13999999999999,500,10.30436705000102
reliable_cluster_edge_suppression,172.44,57.48,100,38.2,14.826666666666666,46.97333333333333,500,11.015125138999792
size_constrained_mpf_suppression,151.08,50.36000000000001,133,40.10666666666666,14.846666666666666,45.04666666666666,500,10.923218024001471
average_linkage_mpf_suppression,136.64,45.54666666666666,121,41.58,15.393333333333334,43.02666666666667,500,10.930997106999712
