strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,78.3,74.57142857142857,47,22.59047619047619,20.97142857142857,56.43809523809523,500,2.8050671009987127
netshield_edge_suppression,58.74,55.94285714285715,72,43.2952380952381,14.476190476190476,42.228571428571435,500,2.7950982970069163
centrality_edge_suppression,57.86,55.1047619047619,99,40.800000000000004,14.838095238095239,44.36190476190476,500,2.848244281994994
greedy_edge_weight_suppression,77.66,73.96190476190476,49,25.21904761904762,17.961904761904762,56.819047619047616,500,1.348703759998898
reliable_cluster_edge_suppression,63.32,60.304761904761904,52,38.2095238095238,15.2,46.590476190476195,500,1.4149614009947982
size_constrained_mpf_suppression,60.82,57.923809523809524,69,32.34285714285715,18.361904761904764,49.29523809523809,500,1.691914741997607
average_linkage_mpf_suppression,61.82,58.87619047619048,84,33.161904761904765,17.63809523809524,49.2,500,1.3218168819876155
