strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,115.44,76.96,63,13.56,23.106666666666666,63.33333333333333,500,1.4128889350004101
netshield_edge_suppression,88.24,58.82666666666666,49,30.44,18.14666666666667,51.413333333333334,500,1.3713705039999695
centrality_edge_suppression,91.98,61.32000000000001,75,26.826666666666664,20.653333333333336,52.52,500,1.3912408760006656
greedy_edge_weight_suppression,104.28,69.52000000000001,62,19.24,21.173333333333336,59.586666666666666,500,1.0668200739992244
reliable_cluster_edge_suppression,90.86,60.57333333333334,31,18.826666666666668,24.08,57.09333333333333,500,1.010142531999918
size_constrained_mpf_suppression,86.7,57.800000000000004,27,21.426666666666666,24.133333333333333,54.44,500,1.0146080730000904
average_linkage_mpf_suppression,86.42,57.61333333333334,50,21.52,22.346666666666668,56.13333333333333,500,1.2015704270006609
