strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,2072.38,69.07933333333334,120,19.676,23.26066666666667,57.06333333333333,500,31.95427427300001
netshield_edge_suppression,1970.88,65.696,130,21.924666666666667,22.98,55.09533333333333,500,57.551229925999905
centrality_edge_suppression,1996.8,66.56,133,21.807333333333332,22.950666666666667,55.242000000000004,500,57.73189553299994
greedy_edge_weight_suppression,1947.64,64.92133333333334,135,21.924000000000003,23.209999999999997,54.86600000000001,500,39.37009498499992
reliable_cluster_edge_suppression,2091.26,69.70866666666667,112,20.101333333333333,22.859333333333332,57.03933333333333,500,45.383222842999885
size_constrained_mpf_suppression,2052.76,68.42533333333334,123,20.586666666666666,22.763333333333332,56.65,500,48.08415775499998
average_linkage_mpf_suppression,2055.0,68.5,119,20.17,22.924666666666667,56.90533333333334,500,42.03925505700022
