strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,1842.9,61.43000000000001,154,31.197333333333333,20.31066666666667,48.492000000000004,500,116.29353591000108
netshield_edge_suppression,1657.54,55.25133333333333,188,34.092,21.531333333333336,44.376666666666665,500,526.2023751230008
centrality_edge_suppression,1684.76,56.15866666666667,183,33.00333333333334,21.998,44.99866666666667,500,313.0618710359995
greedy_edge_weight_suppression,1730.4,57.68,165,33.803333333333335,20.243333333333332,45.953333333333326,500,210.77577841399943
reliable_cluster_edge_suppression,1841.82,61.39399999999999,149,31.022666666666666,20.564666666666668,48.412666666666674,500,190.13829500200154
size_constrained_mpf_suppression,1758.52,58.617333333333335,172,30.909333333333333,21.897333333333332,47.19333333333333,500,163.92456598399986
average_linkage_mpf_suppression,1777.92,59.264,170,30.984,21.40666666666667,47.60933333333333,500,167.54419557399888
