strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,1843.1,61.43666666666666,145,30.809333333333335,20.842666666666666,48.348,500,14.89672665999933
netshield_edge_suppression,1488.82,49.627333333333326,178,41.372,18.569333333333336,40.05866666666667,500,19.65022142900034
centrality_edge_suppression,1573.86,52.461999999999996,174,38.96133333333333,19.208666666666666,41.83,500,22.713941834000252
greedy_edge_weight_suppression,1703.6,56.78666666666666,168,35.458,19.732666666666667,44.809333333333335,500,18.239922540000407
reliable_cluster_edge_suppression,1857.88,61.92933333333334,146,31.291999999999998,20.284,48.424,500,20.483244216999992
size_constrained_mpf_suppression,1652.02,55.06733333333334,205,31.03666666666667,22.872666666666667,46.09066666666667,500,21.462689560999934
average_linkage_mpf_suppression,1655.6,55.18666666666666,204,30.633333333333333,23.449333333333332,45.91733333333333,500,21.49100941100005
