strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,208.38,86.10743801652893,18,10.347107438016529,24.123966942148762,65.52892561983472,500,2.9649452349995045
netshield_edge_suppression,194.0,80.16528925619835,30,14.206611570247935,22.96694214876033,62.82644628099173,500,5.419024782000633
centrality_edge_suppression,196.0,80.99173553719008,31,13.471074380165291,23.123966942148762,63.404958677685954,500,5.916842910000014
greedy_edge_weight_suppression,206.02,85.13223140495867,17,11.520661157024794,23.50413223140496,64.97520661157024,500,2.6692656459999853
reliable_cluster_edge_suppression,200.42,82.81818181818181,18,12.776859504132233,23.1900826446281,64.03305785123968,500,2.7484367369997926
size_constrained_mpf_suppression,206.3,85.24793388429752,19,11.190082644628099,22.421487603305785,66.38842975206612,500,2.7249299159993825
average_linkage_mpf_suppression,203.8,84.21487603305785,27,11.446280991735538,23.859504132231404,64.69421487603306,500,2.717151971999556
