strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,1852.16,61.73866666666667,148,31.006,20.536,48.458,500,14.468542562000039
netshield_edge_suppression,1485.58,49.51933333333333,171,41.362,18.337999999999997,40.300000000000004,500,42.60187541600044
centrality_edge_suppression,1582.7,52.75666666666666,163,39.08866666666667,18.936666666666667,41.974666666666664,500,33.66543278000063
greedy_edge_weight_suppression,1691.74,56.391333333333336,176,35.25933333333333,20.177333333333337,44.56333333333334,500,18.813259900000048
reliable_cluster_edge_suppression,1847.28,61.576,154,30.898000000000003,20.474666666666668,48.62733333333333,500,20.472069250999994
size_constrained_mpf_suppression,1646.46,54.882,207,30.714,23.599333333333334,45.68666666666667,500,21.61373879799976
average_linkage_mpf_suppression,1655.52,55.184,210,30.73,23.636666666666667,45.63333333333333,500,21.372534439000447
