strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,190.24,63.413333333333334,89,32.873333333333335,16.46,50.66666666666667,500,1.7219302879998395
netshield_edge_suppression,169.24,56.41333333333334,109,36.766666666666666,16.53333333333333,46.699999999999996,500,1.9463611199998923
centrality_edge_suppression,176.16,58.71999999999999,102,35.84666666666667,15.666666666666668,48.486666666666665,500,2.070827308999924
greedy_edge_weight_suppression,180.0,60.0,97,35.85333333333333,15.666666666666668,48.480000000000004,500,1.6170131039998523
reliable_cluster_edge_suppression,182.28,60.760000000000005,104,34.093333333333334,16.02,49.88666666666667,500,1.6231743879998248
size_constrained_mpf_suppression,184.1,61.36666666666667,91,32.75333333333334,16.82,50.42666666666666,500,1.4999153180001485
average_linkage_mpf_suppression,182.34,60.78,79,33.14,16.24,50.62000000000001,500,1.5051790829998026
