strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,1311.4,43.71333333333334,317,37.513333333333335,29.494444444444447,32.992222222222225,500,7.138794008991681
netshield_edge_suppression,860.4666666666667,28.682222222222226,367,52.81555555555556,24.90111111111111,22.28333333333333,500,12.962174421001691
centrality_edge_suppression,968.4333333333333,32.28111111111111,361,47.94222222222222,26.727777777777778,25.33,500,14.17531823599711
greedy_edge_weight_suppression,1179.7,39.32333333333333,394,39.01222222222222,33.88444444444445,27.103333333333335,500,9.614259573005256
reliable_cluster_edge_suppression,1141.7666666666667,38.05888888888889,332,42.91555555555556,27.905555555555555,29.17888888888889,500,12.771213507003267
size_constrained_mpf_suppression,591.8,19.726666666666663,488,66.78222222222222,19.676666666666666,13.541111111111112,500,11.749924136995105
average_linkage_mpf_suppression,550.3666666666667,18.345555555555556,496,70.2688888888889,18.225555555555555,11.505555555555556,500,9.396908571012318
louvain_edge_suppression,322.3,10.743333333333334,500,81.82555555555557,10.743333333333334,7.431111111111111,500,11.320450893006637
