strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,207.7,85.82644628099173,24,10.950413223140496,23.710743801652896,65.33884297520662,500,13.420109496000805
netshield_edge_suppression,181.16,74.85950413223141,31,21.66115702479339,21.438016528925623,56.90082644628098,500,32.92489048799325
centrality_edge_suppression,182.84,75.55371900826447,27,20.603305785123965,21.074380165289256,58.32231404958678,500,35.123835068996414
greedy_edge_weight_suppression,204.4,84.46280991735537,25,12.066115702479339,22.719008264462808,65.21487603305785,500,13.80374201000086
reliable_cluster_edge_suppression,196.62,81.24793388429752,22,15.0,22.768595041322314,62.231404958677686,500,14.861940856004367
size_constrained_mpf_suppression,203.82,84.22314049586777,26,11.685950413223141,23.85123966942149,64.46280991735537,500,16.406976520011085
