strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,84.24,80.22857142857143,32,17.752380952380953,21.885714285714286,60.36190476190476,500,2.813423443993088
netshield_edge_suppression,73.52,70.01904761904761,61,29.79047619047619,15.885714285714286,54.323809523809516,500,2.9390686139959143
centrality_edge_suppression,71.62,68.2095238095238,60,30.01904761904762,16.266666666666666,53.714285714285715,500,3.1712039500125684
greedy_edge_weight_suppression,82.72,78.78095238095239,34,19.923809523809524,19.771428571428572,60.304761904761904,500,1.4687800250103464
reliable_cluster_edge_suppression,79.12,75.35238095238095,50,22.400000000000002,19.123809523809523,58.47619047619047,500,1.6684504010045202
size_constrained_mpf_suppression,77.46,73.77142857142857,29,21.104761904761904,19.961904761904766,58.93333333333334,500,1.6531166790082352
average_linkage_mpf_suppression,75.72,72.11428571428571,59,20.304761904761907,20.571428571428573,59.12380952380952,500,1.9088094620092306
