strategy,peak_infected,peak_infected_pct,peak_tick,final_susceptible_pct,final_infected_pct,final_recovered_pct,duration,execution_time
baseline,179.72,59.906666666666666,85,34.98,15.940000000000001,49.08,500,1.8861512159996892
netshield_edge_suppression,150.4,50.13333333333333,89,46.16,12.3,41.54,500,2.0364282120003736
centrality_edge_suppression,157.8,52.6,91,42.660000000000004,13.533333333333333,43.80666666666666,500,2.168489124000189
greedy_edge_weight_suppression,159.56,53.18666666666667,113,40.58666666666667,13.973333333333334,45.44,500,1.7883877870003744
reliable_cluster_edge_suppression,175.36,58.45333333333333,87,39.15333333333333,13.973333333333334,46.873333333333335,500,1.5111138570000548
size_constrained_mpf_suppression,143.86,47.95333333333333,124,39.839999999999996,15.5,44.66,500,1.51773179599968
average_linkage_mpf_suppression,128.6,42.86666666666667,131,43.506666666666675,15.280000000000001,41.21333333333334,500,1.4868652979998842
